,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
0,AAJIM Munkhbat,Male,32,Mongolia,2020 Summer,2020,Summer,Judo,0
1,ABARZA Alberto,Male,36,Chile,2020 Summer,2020,Summer,Swimming,3
2,ABASLI Namig,Male,23,Azerbaijan,2020 Summer,2020,Summer,Judo,1
3,ABASSI Mostefa,Male,43,Algeria,2020 Summer,2020,Summer,Wheelchair Basketball,0
4,ABBAD Abderraouf,Male,34,Algeria,2020 Summer,2020,Summer,Wheelchair Basketball,0
5,ABDALLA Ashraf,Male,47,Egypt,2020 Summer,2020,Summer,Sitting Volleyball,0
6,ABOUELYAZEID Mohamed,Male,42,Egypt,2020 Summer,2020,Summer,Sitting Volleyball,0
7,ABDELALI Samiha,Female,32,Algeria,2020 Summer,2020,Summer,Wheelchair Basketball,0
8,ABDELAZIZ Gihan,Female,46,Egypt,2020 Summer,2020,Summer,Powerlifting,0
9,ELKHARSA Ahmed,Male,23,Egypt,2020 Summer,2020,Summer,Sitting Volleyball,0
10,ABDELHADY Hany,Male,40,Egypt,2020 Summer,2020,Summer,Powerlifting,1
11,ABDELLAOUI Cherine,Female,22,Algeria,2020 Summer,2020,Summer,Judo,3
12,ABDELLATIF Abdelnaby,Male,48,Egypt,2020 Summer,2020,Summer,Sitting Volleyball,0
13,ABDELLI Rima,Female,33,Tunisia,2020 Summer,2020,Summer,Athletics,0
14,ABDELMAJID Taha,Male,33,Egypt,2020 Summer,2020,Summer,Powerlifting,0
15,ABDELSHAFI Malak,Female,18,Egypt,2020 Summer,2020,Summer,Swimming,0
16,ABDI Hassan,Male,35,Islamic Republic of Iran,2020 Summer,2020,Summer,Wheelchair Basketball,0
17,ABDULKHABIBOV Azizbek,Male,27,Uzbekistan,2020 Summer,2020,Summer,Canoe Sprint,0
18,ABDULLAKHANLI Kanan,Male,33,Azerbaijan,2020 Summer,2020,Summer,Judo,0
19,ABDULRAHEEM Kovan,Male,33,Iraq,2020 Summer,2020,Summer,Athletics,0
20,ABDYKHALYKOVA Gulbanu,Female,48,Kazakhstan,2020 Summer,2020,Summer,Powerlifting,0
21,ABE Chisato,Female,42,Japan,2020 Summer,2020,Summer,Wheelchair Fencing,0
22,ABIDAR Mohamed,Male,30,Libya,2020 Summer,2020,Summer,Taekwondo,0
23,ABIDOGUN Ola,Male,27,Great Britain,2020 Summer,2020,Summer,Athletics,0
24,ABILKHASSYMKYZY Saltanat,Female,21,Kazakhstan,2020 Summer,2020,Summer,Athletics,0
25,ABLINGER Walter,Male,51,Austria,2020 Summer,2020,Summer,Cycling Road,3
26,ABOHEGAZY Salma,Female,17,Egypt,2020 Summer,2020,Summer,Taekwondo,0
27,ABOUELKHIR Metawa,Male,44,Egypt,2020 Summer,2020,Summer,Sitting Volleyball,0
28,ABRAHAM de DEUS Michel Gustavo,Male,23,Brazil,2020 Summer,2020,Summer,Athletics,0
29,ABRAHAM GEBRU Daniel,Male,36,Netherlands,2020 Summer,2020,Summer,Cycling Road,3
30,ABRAHAM GEBRU Daniel,Male,36,Netherlands,2020 Summer,2020,Summer,Cycling Track,3
31,ABRAHAMS David Henry,Male,19,United States of America,2020 Summer,2020,Summer,Swimming,2
32,ABSHIR OMAR Mahdi,Male,31,Somalia,2020 Summer,2020,Summer,Athletics,0
33,ABU AWAD Khetam,Female,46,Jordan,2020 Summer,2020,Summer,Table Tennis,1
34,ABUD CORONADO Jose Manuel,Male,46,Dominican Republic,2020 Summer,2020,Summer,Powerlifting,0
35,ABUZARLI Abulfaz,Male,29,Azerbaijan,2020 Summer,2020,Summer,Taekwondo,0
36,ACAR Deniz,Male,45,Turkey,2020 Summer,2020,Summer,Wheelchair Basketball,0
37,ACCARDI Federico,Male,31,Argentina,2020 Summer,2020,Summer,Football 5-a-side,2
38,ACEITUNO Herbert,Male,35,El Salvador,2020 Summer,2020,Summer,Powerlifting,1
39,ACEVES PEREZ Haidee Viviana,Female,28,Mexico,2020 Summer,2020,Summer,Swimming,0
40,ACHENZA Giovanni,Male,49,Italy,2020 Summer,2020,Summer,Triathlon,1
41,ACOSTA MANJARRES Yamil David,Male,23,Colombia,2020 Summer,2020,Summer,Athletics,0
42,ACOSTA RODRIGUEZ Adolfo,Male,39,Spain,2020 Summer,2020,Summer,Football 5-a-side,0
43,ACOSTA SOTO Omar Jose,Male,20,Colombia,2020 Summer,2020,Summer,Athletics,0
44,ADALSTEINSDOTTIR Bergrun Osk,Female,20,Iceland,2020 Summer,2020,Summer,Athletics,0
45,ADAMI Zsanett,Female,26,Hungary,2020 Summer,2020,Summer,Swimming,0
46,ADAMS Lisa,Female,30,New Zealand,2020 Summer,2020,Summer,Athletics,3
47,ADDESI Pierpaolo,Male,44,Italy,2020 Summer,2020,Summer,Cycling Road,0
48,ADDISON Tamsin,Female,48,Ireland,2020 Summer,2020,Summer,Equestrian,0
49,ADENEGAN Kare,Female,20,Great Britain,2020 Summer,2020,Summer,Athletics,2
50,ADESOKAN Yakubu,Male,41,Nigeria,2020 Summer,2020,Summer,Powerlifting,0
51,ADLER Anja,Female,31,Germany,2020 Summer,2020,Summer,Canoe Sprint,0
52,ADOLPHE Timothee,Male,31,France,2020 Summer,2020,Summer,Athletics,2
53,ADONINA Daria,Female,18,RPC,2020 Summer,2020,Summer,Boccia,1
54,ADZHAMETOVA Leilia,Female,27,Ukraine,2020 Summer,2020,Summer,Athletics,0
55,AERE Katia,Female,49,Italy,2020 Summer,2020,Summer,Cycling Road,1
56,AFRI Mahdi,Male,25,Morocco,2020 Summer,2020,Summer,Athletics,0
57,AFROOZ Saeid,Male,30,Islamic Republic of Iran,2020 Summer,2020,Summer,Athletics,3
58,AGALAKOV Roman,Male,26,Kazakhstan,2020 Summer,2020,Summer,Swimming,0
59,AGBLEMAGNON Gloria,Female,23,France,2020 Summer,2020,Summer,Athletics,0
60,AGRIPINO dos SANTOS Julio Cesar,Male,30,Brazil,2020 Summer,2020,Summer,Athletics,0
61,AGUILAR CARMONA Vicente,Male,50,Spain,2020 Summer,2020,Summer,Football 5-a-side,0
62,AGUILERA CRUZ Ulicer,Male,31,Cuba,2020 Summer,2020,Summer,Athletics,0
63,AGUNBIADE Tajudeen,Male,45,Nigeria,2020 Summer,2020,Summer,Table Tennis,1
64,AHLQUIST Anna Carin,Female,48,Sweden,2020 Summer,2020,Summer,Table Tennis,2
65,AHMAD TARMIZI Zuhairi,Male,30,Malaysia,2020 Summer,2020,Summer,Cycling Road,0
66,AHMADI Amirreza,Male,20,Islamic Republic of Iran,2020 Summer,2020,Summer,Wheelchair Basketball,0
67,AHMED Aya,Female,25,Egypt,2020 Summer,2020,Summer,Goalball,0
68,AHMED Mohamed,Male,39,Egypt,2020 Summer,2020,Summer,Powerlifting,0
69,AHMED Rehab,Female,30,Egypt,2020 Summer,2020,Summer,Powerlifting,2
70,AI Xinliang,Male,23,People's Republic of China,2020 Summer,2020,Summer,Archery,1
71,AINGCHAIYAPHUM Phuchit,Male,19,Thailand,2020 Summer,2020,Summer,Swimming,0
72,AIT AL HAKEM Abdellali,Male,27,Morocco,2020 Summer,2020,Summer,Football 5-a-side,1
73,AIT BAJJA Elhabib,Male,23,Morocco,2020 Summer,2020,Summer,Football 5-a-side,1
74,AITCHISON Danielle,Female,19,New Zealand,2020 Summer,2020,Summer,Athletics,2
75,AJEET SINGH,Male,27,India,2020 Summer,2020,Summer,Athletics,0
76,AKAI Daiki,Male,22,Japan,2020 Summer,2020,Summer,Athletics,0
77,AKAISHI Ryuga,Male,20,Japan,2020 Summer,2020,Summer,Wheelchair Basketball,2
78,AKAKURA Sachie,Female,46,Japan,2020 Summer,2020,Summer,Sitting Volleyball,0
79,AKASH,Male,30,India,2020 Summer,2020,Summer,Shooting,0
80,AKBAR Komet,Male,35,Indonesia,2020 Summer,2020,Summer,Table Tennis,0
81,AKBULUT Oguz,Male,28,Turkey,2020 Summer,2020,Summer,Athletics,0
