Name,Country,CountryCode,Sport,Sport-code,Date of Birth,Gender,Age,Age
AAJIM Munkhbat,Mongolia,MGL,Judo,JUD,25/01/89,Male,33,32
ABARZA Alberto,Chile,CHI,Swimming,SWM,11/12/84,Male,37,36
ABASLI Namig,Azerbaijan,AZE,Judo,JUD,12/09/97,Male,24,23
ABASSI Mostefa,Algeria,ALG,Wheelchair Basketball,WBK,25/09/77,Male,44,43
ABBAD Abderraouf,Algeria,ALG,Wheelchair Basketball,WBK,27/10/86,Male,35,34
ABDALLA Ashraf,Egypt,EGY,Sitting Volleyball,VBS,24/02/74,Male,48,47
ABOUELYAZEID Mohamed,Egypt,EGY,Sitting Volleyball,VBS,29/03/79,Male,43,42
ABDELALI Samiha,Algeria,ALG,Wheelchair Basketball,WBK,25/04/88,Female,33,32
ABDELAZIZ Gihan,Egypt,EGY,Powerlifting,PWL,29/10/74,Female,47,46
ELKHARSA Ahmed,Egypt,EGY,Sitting Volleyball,VBS,27/09/97,Male,24,23
ABDELHADY Hany,Egypt,EGY,Powerlifting,PWL,19/05/80,Male,41,40
ABDELLAOUI Cherine,Algeria,ALG,Judo,JUD,28/08/98,Female,23,22
ABDELLATIF Abdelnaby,Egypt,EGY,Sitting Volleyball,VBS,18/06/72,Male,49,48
ABDELLI Rima,Tunisia,TUN,Athletics,ATH,24/02/88,Female,34,33
ABDELMAJID Taha,Egypt,EGY,Powerlifting,PWL,08/06/87,Male,34,33
ABDELSHAFI Malak,Egypt,EGY,Swimming,SWM,11/03/03,Female,19,18
ABDI Hassan,Islamic Republic of Iran,IRI,Wheelchair Basketball,WBK,22/11/85,Male,36,35
ABDULKHABIBOV Azizbek,Uzbekistan,UZB,Canoe Sprint,CSP,16/12/93,Male,28,27
ABDULLAKHANLI Kanan,Azerbaijan,AZE,Judo,JUD,02/07/87,Male,34,33
ABDULRAHEEM Kovan,Iraq,IRQ,Athletics,ATH,01/03/88,Male,34,33
ABDYKHALYKOVA Gulbanu,Kazakhstan,KAZ,Powerlifting,PWL,15/09/72,Female,49,48
ABE Chisato,Japan,JPN,Wheelchair Fencing,WFE,25/10/78,Female,43,42
ABIDAR Mohamed,Libya,LBA,Taekwondo,TKW,21/04/90,Male,31,30
ABIDOGUN Ola,Great Britain,GBR,Athletics,ATH,03/08/93,Male,28,27
ABILKHASSYMKYZY Saltanat,Kazakhstan,KAZ,Athletics,ATH,14/01/00,Female,22,21
ABLINGER Walter,Austria,AUT,Cycling Road,CRD,12/05/69,Male,52,51
ABOHEGAZY Salma,Egypt,EGY,Taekwondo,TKW,10/04/03,Female,18,17
ABOUELKHIR Metawa,Egypt,EGY,Sitting Volleyball,VBS,20/10/76,Male,45,44
ABRAHAM de DEUS Michel Gustavo,Brazil,BRA,Athletics,ATH,03/11/97,Male,24,23
ABRAHAM GEBRU Daniel,Netherlands,NED,Cycling Road,CRD,11/02/85,Male,37,36
ABRAHAM GEBRU Daniel,Netherlands,NED,Cycling Track,CTR,11/02/85,Male,37,36
ABRAHAMS David Henry,United States of America,USA,Swimming,SWM,03/05/01,Male,20,19
ABSHIR OMAR Mahdi,Somalia,SOM,Athletics,ATH,04/05/89,Male,32,31
ABU AWAD Khetam,Jordan,JOR,Table Tennis,TTE,08/10/74,Female,47,46
ABUD CORONADO Jose Manuel,Dominican Republic,DOM,Powerlifting,PWL,26/10/74,Male,47,46
ABUZARLI Abulfaz,Azerbaijan,AZE,Taekwondo,TKW,04/08/91,Male,30,29
ACAR Deniz,Turkey,TUR,Wheelchair Basketball,WBK,09/01/76,Male,46,45
ACCARDI Federico,Argentina,ARG,Football 5-a-side,FB5,26/06/89,Male,32,31
ACEITUNO Herbert,El Salvador,ESA,Powerlifting,PWL,01/11/85,Male,36,35
ACEVES PEREZ Haidee Viviana,Mexico,MEX,Swimming,SWM,23/03/93,Female,29,28
ACHENZA Giovanni,Italy,ITA,Triathlon,TRI,31/07/71,Male,50,49
ACOSTA MANJARRES Yamil David,Colombia,COL,Athletics,ATH,17/10/97,Male,24,23
ACOSTA RODRIGUEZ Adolfo,Spain,ESP,Football 5-a-side,FB5,19/05/81,Male,40,39
ACOSTA SOTO Omar Jose,Colombia,COL,Athletics,ATH,18/05/00,Male,21,20
