Country,CountryCode,Name,Sport,Sport-short,Event,Medal
Czech Republic,CZE,DRAHONINSKY David,Archery,ARC,Men's Individual - W1,Gold Medal
People's Republic of China,CHN,HE Zihao,Archery,ARC,Men's Individual Compound - Open,Gold Medal
United States of America,USA,MATHER Kevin,Archery,ARC,Men's Individual Recurve - Open,Gold Medal
People's Republic of China,CHN,CHEN Minyi,Archery,ARC,Women's Individual - W1,Gold Medal
Great Britain,GBR,PATERSON PINE Phoebe,Archery,ARC,Women's Individual Compound - Open,Gold Medal
Islamic Republic of Iran,IRI,NEMATI Zahra,Archery,ARC,Women's Individual Recurve - Open,Gold Medal
People's Republic of China,CHN,CHEN Minyi,Archery,ARC,Mixed Team - W1,Gold Medal
People's Republic of China,CHN,ZHANG Tianxin,Archery,ARC,Mixed Team - W1,Gold Medal
People's Republic of China,CHN,HE Zihao,Archery,ARC,Mixed Team Compound - Open,Gold Medal
People's Republic of China,CHN,LIN Yueshan,Archery,ARC,Mixed Team Compound - Open,Gold Medal
RPC,RPC,SIDORENKO Margarita,Archery,ARC,Mixed Team Recurve - Open,Gold Medal
RPC,RPC,SMIRNOV Kirill,Archery,ARC,Mixed Team Recurve - Open,Gold Medal
Greece,GRE,GHAVELAS Athanasios,Athletics,ATH,Men's 100m - T11,Gold Medal
Norway,NOR,KASHAFALI Salum Ageze,Athletics,ATH,Men's 100m - T12,Gold Medal
Ireland,IRL,SMYTH Jason,Athletics,ATH,Men's 100m - T13,Gold Medal
Great Britain,GBR,SMALL Andrew,Athletics,ATH,Men's 100m - T33,Gold Medal
Tunisia,TUN,KTILA Walid,Athletics,ATH,Men's 100m - T34,Gold Medal
RPC,RPC,SAFRONOV Dmitrii,Athletics,ATH,Men's 100m - T35,Gold Medal
People's Republic of China,CHN,DENG Peicheng,Athletics,ATH,Men's 100m - T36,Gold Medal
United States of America,USA,MAYHUGH Nick,Athletics,ATH,Men's 100m - T37,Gold Medal
Great Britain,GBR,YOUNG Thomas,Athletics,ATH,Men's 100m - T38,Gold Medal
Brazil,BRA,FERREIRA dos SANTOS Petrucio,Athletics,ATH,Men's 100m - T47,Gold Medal
Belgium,BEL,GENYN Peter,Athletics,ATH,Men's 100m - T51,Gold Medal
United States of America,USA,MARTIN Raymond,Athletics,ATH,Men's 100m - T52,Gold Medal
Thailand,THA,PAEYO Pongsakorn,Athletics,ATH,Men's 100m - T53,Gold Medal
Thailand,THA,PAENG-NUEA Athiwat,Athletics,ATH,Men's 100m - T54,Gold Medal
RPC,RPC,PROKHOROV Anton,Athletics,ATH,Men's 100m - T63,Gold Medal
Germany,GER,STRENG Felix,Athletics,ATH,Men's 100m - T64,Gold Medal
Brazil,BRA,JACQUES Yeltsin,Athletics,ATH,Men's 1500m - T11,Gold Medal
RPC,RPC,KULIATIN Anton,Athletics,ATH,Men's 1500m - T13,Gold Medal
Great Britain,GBR,MILLER Owen,Athletics,ATH,Men's 1500m - T20,Gold Medal
Canada,CAN,RIECH Nate,Athletics,ATH,Men's 1500m - T38,Gold Medal
RPC,RPC,IAREMCHUK Aleksandr,Athletics,ATH,Men's 1500m - T46,Gold Medal
Japan,JPN,SATO Tomoki,Athletics,ATH,Men's 1500m - T52,Gold Medal
Switzerland,SUI,HUG Marcel,Athletics,ATH,Men's 1500m - T54,Gold Medal
RPC,RPC,SAFRONOV Dmitrii,Athletics,ATH,Men's 200m - T35,Gold Medal
United States of America,USA,MAYHUGH Nick,Athletics,ATH,Men's 200m - T37,Gold Medal
Finland,FIN,PIISPANEN Toni,Athletics,ATH,Men's 200m - T51,Gold Medal
South Africa,RSA,MAHLANGU Ntando,Athletics,ATH,Men's 200m - T61,Gold Medal
Costa Rica,CRC,GUITY GUITY Sherman Isidro,Athletics,ATH,Men's 200m - T64,Gold Medal
Spain,ESP,DESCARREGA PUIGDEVALL Gerard,Athletics,ATH,Men's 400m - T11,Gold Medal
Morocco,MAR,HILI Abdeslam,Athletics,ATH,Men's 400m - T12,Gold Medal
Algeria,ALG,ATHMANI Skander Djamil,Athletics,ATH,Men's 400m - T13,Gold Medal
France,FRA,KOUAKOU Charles-Antoine,Athletics,ATH,Men's 400m - T20,Gold Medal
Australia,AUS,TURNER James,Athletics,ATH,Men's 400m - T36,Gold Medal
RPC,RPC,VDOVIN Andrei,Athletics,ATH,Men's 400m - T37,Gold Medal
Mexico,MEX,CHESSANI GARCIA Jose Rodolfo,Athletics,ATH,Men's 400m - T38,Gold Medal
Morocco,MAR,SADNI Ayoub,Athletics,ATH,Men's 400m - T47,Gold Medal
Japan,JPN,SATO Tomoki,Athletics,ATH,Men's 400m - T52,Gold Medal
Thailand,THA,PAEYO Pongsakorn,Athletics,ATH,Men's 400m - T53,Gold Medal
United States of America,USA,ROMANCHUK Daniel,Athletics,ATH,Men's 400m - T54,Gold Medal
Germany,GER,FLOORS Johannes,Athletics,ATH,Men's 400m - T62,Gold Medal
